win,peak,freq,bin,value,phase,compensation
1,1878.8886,80749.5117,2646,2646,1.3794,1.885
2,1904.9401,80749.5117,2646,2646,-1.2079,2.0106
3,1878.0237,80749.5117,2646,2646,2.5269,2.1363
4,1865.2963,80749.5117,2646,2646,-0.30262,1.9478
5,1875.0836,80749.5117,2646,2646,-2.8672,2.0106
6,1921.0665,80749.5117,2646,2646,0.90629,2.1363
7,1743.8597,81481.9336,2670,2670,-1.1974,2.5761
8,1820.6678,81726.0742,2678,2678,-0.096428,4.2097
9,198.7227,81707.7637,2677.4,2677,1.5797,1.3195
10,106.4509,98022.4609,3212,3212,-0.093688,2.4504
11,1719.7886,76873.7793,2519,2519,1.5412,1.9478
12,1742.6159,4486.084,147,147,-0.33083,2.5133
13,1689.6053,71258.5449,2335,2335,-2.6336,2.4504
14,1680.139,63323.9746,2075,2075,-2.586,2.5133
15,1670.9607,45989.9902,1507,1507,0.31289,2.6389
16,1696.6185,71624.7559,2347,2347,0.60692,2.6389
17,1665.4737,29266.3574,959,959,1.9711,2.8274
18,1666.4101,63201.9043,2071,2071,-0.94089,2.8274
19,1418.2143,109344.4824,3583,3583,1.4015,2.1991
20,1678.0848,60760.498,1991,1991,2.1593,2.9531
21,1688.441,37811.2793,1239,1239,-0.5306,3.0788
22,1663.3306,61492.9199,2015,2015,1.151,3.1416
23,1349.7225,113616.9434,3723,3723,2.2841,2.8274
