win,peak,freq,bin,value,phase,compensation
1,1930.4533,124993.8965,4095.8,0,1.5151,3.8327
2,1882.1995,124993.8965,4095.8,0,-1.8893,1.0053
3,1928.654,124993.8965,4095.8,0,-0.859,2.5761
4,1898.6285,124993.8965,4095.8,0,1.1378,5.0894
5,1913.4112,124996.9482,4095.9,0,2.6795,1.131
6,1896.2941,124996.9482,4095.9,0,-2.4106,2.7646
7,1891.0545,124996.9482,4095.9,0,0.80673,0.12566
8,1915.9089,124996.9482,4095.9,0,-0.1233,5.9062
9,1901.7424,729.3701,23.9,24,-0.16826,4.3982
10,1899.2185,973.5107,31.9,32,-0.61171,5.592
11,1894.0609,45681.7627,1496.9,1497,1.4696,5.592
12,1882.7854,33474.7314,1096.9,1097,0.36109,5.7177
13,1869.8927,121121.2158,3968.9,3969,-3.0066,5.2779
14,1905.8379,48733.5205,1596.9,1597,-0.35043,5.7805
15,1856.2234,115505.9814,3784.9,3785,1.8516,5.7177
16,1824.6393,107571.4111,3524.9,3525,0.68503,5.8434
17,1802.0478,90234.375,2956.8,2957,-0.97955,5.592
18,1859.4147,115872.1924,3796.9,3797,-0.91862,5.9062
19,1817.1341,73510.7422,2408.8,2409,2.4474,5.7805
20,1804.9761,107449.3408,3520.9,3521,2.7535,6.1575
21,1829.2679,28588.8672,936.8,937,-2.1837,5.969
22,1820.5642,105004.8828,3440.8,3441,0.045634,5.969
23,1841.2941,82055.6641,2688.8,2689,-2.5362,6.0319
